id,PLOT_ID,NDRE_sum,NDRE_count,NDRE_mean,NDRE_median,NDRE_std,NDRE_var,NDRE_min,NDRE_max,MTCI_sum,MTCI_count,MTCI_mean,MTCI_median,MTCI_std,MTCI_var,MTCI_min,MTCI_max,NDVI_sum,NDVI_count,NDVI_mean,NDVI_median,NDVI_std,NDVI_var,NDVI_min,NDVI_max,NDWI_sum,NDWI_count,NDWI_mean,NDWI_median,NDWI_std,NDWI_var,NDWI_min,NDWI_max,MSI_sum,MSI_count,MSI_mean,MSI_median,MSI_std,MSI_var,MSI_min,MSI_max,WI_sum,WI_count,WI_mean,WI_median,WI_std,WI_var,WI_min,WI_max,SAVI_sum,SAVI_count,SAVI_mean,SAVI_median,SAVI_std,SAVI_var,SAVI_min,SAVI_max,EVI_sum,EVI_count,EVI_mean,EVI_median,EVI_std,EVI_var,EVI_min,EVI_max,EXG_sum,EXG_count,EXG_mean,EXG_median,EXG_std,EXG_var,EXG_min,EXG_max,CIgreen_sum,CIgreen_count,CIgreen_mean,CIgreen_median,CIgreen_std,CIgreen_var,CIgreen_min,CIgreen_max,NDCI_sum,NDCI_count,NDCI_mean,NDCI_median,NDCI_std,NDCI_var,NDCI_min,NDCI_max,PSRI_sum,PSRI_count,PSRI_mean,PSRI_median,PSRI_std,PSRI_var,PSRI_min,PSRI_max,SIPI_sum,SIPI_count,SIPI_mean,SIPI_median,SIPI_std,SIPI_var,SIPI_min,SIPI_max,stage,experiment,average_height_m,genotype,fractional_cover,LPT_70,ALS,WALS
1,AYT-Z--1_1,6576.481497833976,41721,0.1576300064196442,0.1624864368294991,0.0620603997223143,0.0038514932136934,-0.2482828258791068,0.3529303611235373,21622.113076781072,41721,0.5182549094408349,0.5076750073194835,0.2495736789953956,0.0622870212472967,-0.4703232341596337,3.940415198935839,29414.173697842783,41721,0.7050208215968645,0.7166200054139114,0.0855048166844858,0.0073110736762475,0.2231768943783983,0.9321258153476358,21493.642310294985,41721,0.5151756264302146,0.5232613898511089,0.0727695017672471,0.0052954003874533,0.156829088070433,0.7321367707072626,7347.578080659114,41721,0.1761122235962492,0.165080212098402,0.0621620318080038,0.0038641181984992,0.0351292778727,0.635086477836366,134184.68516858923,41721,3.216238469082458,3.1951710170388266,0.6191640329953616,0.3833640997550812,1.371998335928205,6.466497007748222,44115.32338944613,41721,1.0573889261869591,1.0747857142758257,0.1282441814738215,0.0164465700818904,0.3347193100476264,1.3979583562942628,80679.24012407711,41721,1.9337801137095727,1.993516492029259,0.3290736564956772,0.1082894713994349,0.4300376707046805,2.7829640946101537,45945968.29694367,41721,1101.2671867151714,1096.6809692382812,212.3130322249917,45076.82365257036,285.15533447265625,2018.515106201172,92463.68516858925,41721,2.2162384690824584,2.1951710170388266,0.6191640329953616,0.3833640997550812,0.3719983359282051,5.466497007748222,25778.679068637928,41721,0.6178825787646013,0.6251928148985496,0.0982704459635945,0.0096570805498837,0.0808180054646686,0.9257167897644136,-6133.903897748709,41721,-0.1470219768881069,-0.1450107063342114,0.0289621584382248,0.0008388066214008,-0.3981313986277147,0.0208357648505543,31057.15816126725,41721,0.7444010968401344,0.7505577773600608,0.0709423529616082,0.0050328174437294,0.3870404062844622,0.9471613707039286,3,AYT-Z,0.0082548921927809,1,0.7030751899523022,67.09,66.25,64.43
127,AYT-Z--1_10,8185.209661020826,41717,0.1962080125852968,0.20095344769456,0.047583588805496,0.0022641979236105,-0.1282799062520021,0.3524123557974763,26278.48119257645,41717,0.6299226021184757,0.6281764378032832,0.1967000884278067,0.038690924787507,-0.3637550605864508,9.281743153774858,31613.89089000797,41717,0.7578179372919425,0.7730344361826283,0.0894672611136999,0.0080043908111869,0.1639740889926969,0.931123308967122,23491.593883757057,41717,0.5631180066581264,0.5717336989149305,0.079192212045834,0.0062714064487123,0.1225389191687113,0.7440621160240742,5878.318049339581,41717,0.1409094146112995,0.1280096760591025,0.0618710359472166,0.0038280250891817,0.0356666457874807,0.7182513072355414,155382.3868866552,41717,3.724677874407441,3.6699915331482647,0.8317969678714765,0.6918861957601822,1.279303371615344,6.814396090686307,47414.41137192654,41717,1.136572892871648,1.1593886086239222,0.1341882322067672,0.0180064816627772,0.2459172893025694,1.3965126750864327,82599.45197244584,41717,1.979995013362558,2.032367737440405,0.3085451942463398,0.0952001368925115,0.3501942259855908,2.91146580289848,45231959.71853638,41717,1084.2572504862856,1077.247100830078,224.690987508924,50486.03986773545,274.4886779785156,1889.16357421875,113665.38688665522,41717,2.7246778744074414,2.6699915331482647,0.8317969678714772,0.6918861957601833,0.2793033716153439,5.814396090686307,27710.22489967556,41717,0.6642429920578076,0.67995077031217,0.1059119986622117,0.0112173514606243,0.0208077908348361,0.8893354670685781,-5924.240503053001,41717,-0.1420102237230146,-0.1408205523564989,0.0199079918417645,0.0003963281391717,-0.2746963879175375,0.0351306771534664,33114.29948607294,41717,0.7937842962358975,0.8052020589022061,0.0729748148201895,0.0053253235980409,0.324303757026415,0.9372142754083964,5,AYT-Z,0.039352361112833,10,0.6410815734592612,78.24,74.67,72.59
141,AYT-Z--1_11,6757.1242414694425,41718,0.1619714329898231,0.164676215303787,0.0540860586884096,0.002925301744446,-0.0681770690801587,0.3603421619714229,21548.561852800176,41718,0.5165291205906366,0.5050460458930451,0.2131674143592545,0.0454403465446101,-0.1838844225942794,3.4029895739291685,30073.98685336168,41718,0.7208875510178263,0.732684719427102,0.0849610962649882,0.0072183878785486,0.2583931124124503,0.9107094156213844,22393.907240405275,41718,0.5367924454768991,0.5461772510720941,0.072046368801904,0.0051906792575399,0.2301368930087227,0.7058841606918973,6890.499260862352,41718,0.1651684946752565,0.1542780850878301,0.0605012177394716,0.0036603973479589,0.0467316399074619,0.589328469992834,142667.97824831482,41718,3.419818261860943,3.4070069310688447,0.6673411656550967,0.4453442313779032,1.5978644538718758,5.800041795453556,45104.75133639025,41718,1.0811820158298635,1.0988680918797753,0.127433266453181,0.0162392373989274,0.3874877575488509,1.3658981199734406,78337.9145826022,41718,1.8777965046886764,1.924125161727132,0.3172748151254634,0.1006633083128969,0.4647003096285707,2.6970655172730096,43794259.1529541,41718,1049.768904380701,1058.2945098876953,200.59231812885253,40237.2780923068,270.8903198242185,1705.32421875,100949.97824831482,41718,2.419818261860943,2.4070069310688447,0.6673411656550967,0.4453442313779033,0.5978644538718758,4.800041795453556,26538.87065060055,41718,0.6361491598494786,0.6458768448097323,0.0944599187288622,0.0089226762462632,0.0870285743594862,0.874187342150645,-5806.853783993296,41718,-0.1391930050336376,-0.1378336313415611,0.0228365715439275,0.0005215089998809,-0.2547177912535611,0.0008655597920472,31862.220693477684,41718,0.7637523537436522,0.7720248002601091,0.0663889156266189,0.0044074881180783,0.3577389087754226,0.9236591697087148,3,AYT-Z,0.0389500819146633,11,0.6438467807660961,70.99,68.48,66.98
155,AYT-Z--1_12,6952.290249153197,41720,0.1666416646489261,0.1717819440512077,0.0482200228317887,0.0023251706018982,-0.1401711825774384,0.3226785671539069,21924.22179626958,41720,0.5255086720102967,0.5208513664834779,0.1953855952908577,0.0381755308471628,-0.294277941281016,3.614858524438931,30948.032679805387,41720,0.7418032761218932,0.7633951967418776,0.0990238518997401,0.0098057232450616,0.1519800585615947,0.91805747494475,23204.693519158835,41720,0.5562007075541427,0.5654419105641851,0.0755654329699667,0.0057101346599385,0.2226797315451046,0.7196764482898635,6351.709994319229,41720,0.1522461647727523,0.1341757104849116,0.0709085761780036,0.0050280261755917,0.0427216212890649,0.7361411641945214,151596.99731868182,41720,3.633676829306851,3.602376641366908,0.7616636456122368,0.5801315090473229,1.5729420435356265,6.134612799384277,46416.28596579816,41720,1.1125667777036952,1.1449429451835202,0.1485142410832617,0.0220564798045371,0.2279386197118831,1.376904077147175,81895.4071907712,41720,1.9629771618113905,2.0266779412760885,0.3797208928176545,0.1441879564422366,0.242146881040095,2.888389583259912,47717553.812057495,41720,1143.7572821682045,1129.4218063354492,207.9005717004399,43222.64771336976,280.55548095703125,1924.2724609375,109876.99731868182,41720,2.633676829306851,2.602376641366908,0.7616636456122368,0.5801315090473229,0.5729420435356263,5.134612799384277,27514.83229614692,41720,0.6595118000035216,0.6845134141835295,0.1173985378084803,0.0137824166795691,0.0632063730529465,0.8867294851805471,-5677.051054700226,41720,-0.1360750492497657,-0.1360642138205893,0.0225553398955703,0.0005087433578047,-0.2619750627859594,0.1199864990801796,32532.51321460049,41720,0.7797821959396092,0.794787755125453,0.0763789949339393,0.0058337508671187,0.3691585105857325,0.9335505045467984,5,AYT-Z,0.0366307124495506,12,0.7708533077660594,77.54,74.96,72.97
169,AYT-Z--1_13,7459.527180162576,41721,0.1787955029880054,0.1835209639094465,0.0480091948713443,0.0023048827921947,-0.1680311327899226,0.3272241579057474,24303.55708371273,41721,0.5825257564227304,0.5711455677983843,0.2259436428865733,0.0510505297608553,-0.4320519028511517,10.067178272676337,30655.654579272126,41721,0.7347775599643376,0.7626374282786015,0.1159392643554225,0.0134419130192765,0.1010052696342207,0.9318711933097906,22965.29702990377,41721,0.5504493427747121,0.5610043973135275,0.0845488366244814,0.0071485057745532,0.1070416042667984,0.7482764566372176,6618.751963449832,41721,0.1586431764207433,0.1346632993906226,0.0867712429988163,0.0075292486115596,0.0352657086694725,0.8165217326021028,150184.0316757139,41721,3.599722721787922,3.555854290477677,0.8245917378944104,0.679951534203724,1.2397460055883285,6.945224245940369,45977.64626801283,41721,1.1020264679181426,1.1437916265178376,0.173889933257948,0.0302377088884536,0.1514875515736823,1.3976457138635507,80635.75068806463,41721,1.932737726518172,2.031421654319874,0.4123681600101355,0.1700474993901447,0.1499065358193614,2.771134266433338,46532113.44005585,41721,1115.316350040887,1118.96435546875,208.7689450529165,43584.47241850767,119.1925659179687,2030.77783203125,108463.0316757139,41721,2.599722721787922,2.555854290477677,0.8245917378944091,0.6799515342037218,0.2397460055883284,5.945224245940369,26943.44385329009,41721,0.6458005285896812,0.6747293192275485,0.1330192675672931,0.0176941255441391,0.0235420202133347,0.897429781996981,-5646.721552121012,41721,-0.1353448275957194,-0.1380675198891729,0.0277207200301874,0.000768438318992,-0.2756450509732404,0.142789915101167,32341.712421594555,41721,0.7751902500322273,0.7943208250122266,0.0893487735052019,0.0079832033268838,0.3116117262514131,0.9415769251656648,4,AYT-Z,0.0233491156250238,13,0.746218930514609,72.89,69.62,67.25
183,AYT-Z--1_14,5946.004194396101,41720,0.1425216729241635,0.149968614816825,0.0646739015364542,0.0041827135399469,-0.4105109929186853,0.3351149265942612,21726.74046498639,41720,0.5207751789306421,0.480076786634121,2.168592843615143,4.702794921378812,-60.53151771128023,368.1611806797853,27972.56854971776,41720,0.6704834264074248,0.7027247664679273,0.1351521044989437,0.0182660913504934,0.0818856846507402,0.9319274813078632,21091.451444544826,41720,0.505547733570106,0.5194684665770444,0.0879441139780511,0.0077341671833844,0.0518731138720367,0.7037149430674905,8601.775033545273,41720,0.2061786920792251,0.1745879541934015,0.1112255458250693,0.0123711220440846,0.0352355455112909,0.8486241461320841,132055.97895117995,41720,3.165291921169222,3.162057764978601,0.693990723183849,0.4816231238652417,1.1094223033456636,5.7502560564692216,41953.00153384314,41720,1.0055848881553964,1.0539447224226044,0.2027043176496236,0.0410890403937995,0.1228154222538452,1.397687137271637,74516.94236041527,41720,1.7861203825602894,1.8865863983294489,0.4954114120693894,0.2454324672085863,0.1546278105990671,3.2681257474721708,41073223.46396637,41720,984.4972067106032,999.4268493652344,203.7051577477384,41495.79129303098,252.10504150390625,1636.7715454101562,90335.97895117992,41720,2.1652919211692216,2.162057764978601,0.6939907231838491,0.4816231238652419,0.1094223033456636,4.7502560564692216,24532.39223931999,41720,0.5880247420738253,0.6170610240164611,0.1499898417766388,0.0224969526361811,-0.0134254911405713,0.9218239682982816,-5300.894346872642,41720,-0.1270588290237929,-0.1329220494290338,0.0437484845060899,0.0019139298965795,-0.283382408657258,0.13596250712887,30149.75518569699,41720,0.7226691079984897,0.7429277377557559,0.1016753355540857,0.0103378738600359,0.2485858000750044,0.9534387311062666,3,AYT-Z,0.0272740665823221,14,0.523633748801534,62.29,58.6,56.33
197,AYT-Z--1_15,5323.3830840732535,41720,0.1275978687457635,0.1377383678576753,0.076792462800644,0.0058970823429882,-0.2868409800093192,0.3838498309949942,13823.854115769973,41720,0.3313483728612169,0.4617027510113783,30.85347437710336,951.9368811385734,-6297.063937442503,79.1981541105361,25583.33793307086,41720,0.6132151949441721,0.6405192369781512,0.1623532411576409,0.0263585749143911,-0.0096753555437183,0.93311043967978,19639.796256307607,41720,0.4707525468913616,0.4814632304337193,0.1045365090438232,0.0109278817230693,-0.0449392426375825,0.7253522100899442,10575.103358548791,41720,0.2534780287283986,0.2191262101272886,0.1373737410055207,0.0188715447178518,0.0346020377042194,1.019539765263603,122159.84442430976,41720,2.928088313142612,2.857007097139978,0.7744104932761178,0.59971161209616,0.9139868792291708,6.282053864897216,38369.79031725456,41720,0.9196977544883642,0.9606594218481838,0.243498818458535,0.0592916745907025,-0.0145104135988003,1.3994526554111817,63287.582758921584,41720,1.516960277059482,1.555605323500688,0.5751212999340146,0.3307645096377907,-0.0216891996354427,3.085549651913728,41562180.970703125,41720,996.2171852996914,1006.4231643676758,215.3353617674097,46369.31802750121,267.1783447265625,1802.131103515625,80439.84442430976,41720,1.928088313142612,1.8570070971399784,0.7744104932761166,0.5997116120961582,-0.0860131207708291,5.282053864897216,22309.56790822521,41720,0.534745155997728,0.559059900849755,0.1686477379047356,0.0284420595003844,-0.0893073056280543,0.9152148457716826,-4736.551749097638,41720,-0.1135319211193106,-0.1243304889978583,0.052503593665205,0.0027566273477609,-0.3215651390580454,0.1326964183485331,28730.036769608178,41720,0.6886394240078662,0.7055390025850519,0.1175633778007653,0.0138211477999254,0.1739193743144608,0.9496861101324938,4,AYT-Z,0.0177046824246644,15,0.5329098753595398,87.96,87.42,87.12
198,AYT-Z--1_16,6729.957884957035,41718,0.1613202426999624,0.1684054042969173,0.0584258582781225,0.0034135809155352,-0.2046167611768536,0.3522483423298306,22989.82282125045,41718,0.551076821066457,0.5376989745863108,0.2706519291433716,0.0732524667490286,-0.4280991831474403,6.8239412353737885,28677.08301227234,41718,0.6874031116609698,0.7097521893835346,0.1272199400516507,0.0161849131467455,0.098185013185336,0.9221740776763908,21675.28446351728,41718,0.519566720924236,0.5284897503906937,0.0872266051040472,0.0076084806379773,0.1009135922578032,0.744948418666453,8033.799547429426,41718,0.1925739380466327,0.1697601631846214,0.0976703441465855,0.0095394961257124,0.0404884881278227,0.8211867544967748,137578.94433817815,41718,3.297831735418241,3.2416893412326626,0.7618497508920895,0.5804150429343389,1.224480297752959,6.841551067995434,43009.97999402151,41718,1.0309693655980994,1.0644948870669313,0.1908080676867046,0.036407718694334,0.1472543800210166,1.383046337157928,73231.91984156646,41718,1.7554034191851589,1.8181710822738475,0.4632478929246472,0.2145986102991254,0.1951544128205462,3.144473962914285,44373851.77978516,41718,1063.6620111171474,1069.266342163086,216.91505167756,47052.13964427851,256.1346435546875,1909.531188964844,95860.94433817816,41718,2.297831735418241,2.2416893412326626,0.7618497508920895,0.5804150429343389,0.2244802977529589,5.841551067995434,24942.09474008859,41718,0.597873693371892,0.618825829088228,0.1414379010662622,0.0200046798580297,0.0285737831212942,0.8915236977248366,-5344.776661819693,41718,-0.1281167999860897,-0.1331342013614674,0.0339972417548414,0.0011558124469371,-0.2791349525466301,0.0668645630934714,30917.76807404055,41718,0.741113382090238,0.756035287755039,0.0961020034622482,0.0092355950694579,0.2828171038114113,0.9334776167291734,4,AYT-Z,0.0149154858663678,16,0.6472026463397095,62.87,62.88,61.59
184,AYT-Z--1_17,6143.569914862062,41722,0.1472501297843359,0.154816396761979,0.0626854234354265,0.0039294623112787,-0.2110850122678661,0.36166440595161,20149.602648113712,41722,0.4829491071404466,0.5531479884444154,29.271985634084608,856.8491429620557,-5819.148969889065,258.87981254506127,24782.944750603,41722,0.5940018395715209,0.6184758696573832,0.1832615600433894,0.0335847993895368,0.0049015217060766,0.9281342354697693,19809.14065021016,41722,0.4747888560042702,0.4829661200077457,0.1165439346716231,0.0135824887087435,0.0486592995138738,0.7152735170843256,11383.661702380914,41722,0.2728455419773959,0.2357305027178874,0.1592937994648828,0.0253745145479583,0.0372721790880506,0.9902447720493944,125222.0284986812,41722,3.0013429005963568,2.8682184619061344,0.8965949140488122,0.803882439898197,1.1022962635552318,6.024285129783052,37169.144502036645,41722,0.8908763842106477,0.927586840164352,0.2748524665921487,0.0755438783917882,0.0073509273039264,1.391957418726947,59597.270454507096,41722,1.4284375258738098,1.419539919331393,0.6071881576304438,0.3686774587666526,0.0070072177766402,3.154748611082005,36486942.4826107,41722,874.5252500505896,880.3877410888672,223.1059917520109,49776.28355564838,43.50457763671875,1636.627944946289,83500.02849868119,41722,2.0013429005963568,1.8682184619061344,0.8965949140488034,0.8038824398981812,0.1022962635552318,5.024285129783052,20816.923136101475,41722,0.4989435582211177,0.5215682011702146,0.2006597844809222,0.0402643491079301,-0.1536090454284733,0.913987310422004,-3843.4877947264,41722,-0.092121369894214,-0.1077552755096618,0.0591670401372352,0.0035007386386012,-0.3099691682749549,0.2183112081788426,28288.488749229506,41722,0.6780233150191627,0.6957903494011924,0.1353869727694358,0.0183296323956719,0.1341215996961625,0.9466228450402298,5,AYT-Z,0.0300757065415382,17,0.3169790518191841,77.72,77.39,76.98
170,AYT-Z--1_18,6692.53259111705,41720,0.160415450410284,0.163573286493375,0.0401332537340199,0.0016106780552792,-0.0894825011246624,0.3285366237590263,20162.398024819704,41720,0.4832789555325912,0.4797223762238955,0.15272424308505,0.0233246944259014,-0.2141124029961874,1.834863378439726,31780.856657834825,41720,0.7617654999481023,0.773323653523289,0.0747224730515908,0.0055834479789457,0.3418340599695997,0.9324537871726488,22167.11754106829,41720,0.5313307176670253,0.5368735393570347,0.0577838488167704,0.0033389731840793,0.2283195843490817,0.7012227923061275,5731.95634649004,41720,0.1373910917183614,0.1278257051548715,0.0512432162134955,0.002625867207903,0.034953597998417,0.4904972676318199,138937.80919693958,41720,3.3302447075009485,3.31847490904215,0.5175769112253413,0.2678858590335649,1.5917464787712474,5.6939510394286925,47666.0009196363,41720,1.1425215944304004,1.159867892375853,0.1120713460544815,0.0125599866064633,0.5126926923898678,1.39850336542848,84314.72617415263,41720,2.020966590943256,2.0711761109049425,0.2411050837008564,0.0581316613863969,0.6417164349994173,2.895478306588001,63854085.12730789,41720,1530.5389531952994,1530.8053283691406,215.68207326061608,46518.75672599776,807.6404418945312,2370.2848510742188,97217.80919693958,41720,2.3302447075009485,2.31847490904215,0.5175769112253416,0.267885859033565,0.5917464787712474,4.6939510394286925,28626.29121516113,41720,0.6861527136903436,0.6973250524336236,0.091651380674884,0.0083999755796125,0.1874039599665002,0.9149097977705272,-7116.533869082719,41720,-0.1705784724132962,-0.1700510302273466,0.018756385424595,0.0003518019941959,-0.3114488328299171,-0.0549012276769282,33158.31515195423,41720,0.7947822423766594,0.8027755266803063,0.0653638652573648,0.0042724348813829,0.4253518800791186,0.9498336263189552,4,AYT-Z,0.0263466984033584,18,0.9947746883988496,82.61,77.7,75.83
