id,PLOT_ID,NDRE_sum,NDRE_count,NDRE_mean,NDRE_median,NDRE_std,NDRE_var,NDRE_min,NDRE_max,MTCI_sum,MTCI_count,MTCI_mean,MTCI_median,MTCI_std,MTCI_var,MTCI_min,MTCI_max,NDVI_sum,NDVI_count,NDVI_mean,NDVI_median,NDVI_std,NDVI_var,NDVI_min,NDVI_max,NDWI_sum,NDWI_count,NDWI_mean,NDWI_median,NDWI_std,NDWI_var,NDWI_min,NDWI_max,MSI_sum,MSI_count,MSI_mean,MSI_median,MSI_std,MSI_var,MSI_min,MSI_max,WI_sum,WI_count,WI_mean,WI_median,WI_std,WI_var,WI_min,WI_max,SAVI_sum,SAVI_count,SAVI_mean,SAVI_median,SAVI_std,SAVI_var,SAVI_min,SAVI_max,EVI_sum,EVI_count,EVI_mean,EVI_median,EVI_std,EVI_var,EVI_min,EVI_max,EXG_sum,EXG_count,EXG_mean,EXG_median,EXG_std,EXG_var,EXG_min,EXG_max,CIgreen_sum,CIgreen_count,CIgreen_mean,CIgreen_median,CIgreen_std,CIgreen_var,CIgreen_min,CIgreen_max,NDCI_sum,NDCI_count,NDCI_mean,NDCI_median,NDCI_std,NDCI_var,NDCI_min,NDCI_max,PSRI_sum,PSRI_count,PSRI_mean,PSRI_median,PSRI_std,PSRI_var,PSRI_min,PSRI_max,SIPI_sum,SIPI_count,SIPI_mean,SIPI_median,SIPI_std,SIPI_var,SIPI_min,SIPI_max,stage,experiment,average_height_m,genotype,fractional_cover,LPT_70,ALS,WALS
1,AYT-Z--1_1,-3722.9815287956458,42518,-0.0875624800977385,-0.0789095404722032,0.1082742228417397,0.0117233073319827,-0.8220106375560832,0.3771269470645662,-25863.58812624904,42518,-0.6082973829025127,-0.2263057222401244,1020.476273204687,1041371.8241737272,-133566.45,148776.41666666666,-4268.195669625586,42518,-0.1003856171415773,-0.0919686951247257,0.0827179457641867,0.0068422585514469,-0.8055098261845254,0.1855327619505895,2488.5144174546463,42518,0.0585284918729631,0.0633247978223034,0.0757269318832473,0.0057345682124499,-0.7189442134591483,0.3297467001917882,53086.28185281937,42518,1.248560182812441,1.2025672344797913,0.298501443405296,0.0891031117150451,0.6870052555184938,9.283295864075525,48329.83451589824,42518,1.1366911547085523,1.1352118593595235,0.156410796330896,0.024464337208865,0.163504891165295,1.983946517790044,-6401.472921749132,42518,-0.1505591260583548,-0.137937383912313,0.1240568987159225,0.0153901141190126,-1.2079455753952724,0.2782685201246465,-4548.431869369821,42518,-0.1069766185937678,-0.1074773431198988,0.0743528611990408,0.0055283479684838,-0.6106305628785867,0.3593906035725925,6985190.36088562,42518,164.2878395240985,170.3173217773437,134.98939519748174,18222.13681578191,-516.070068359375,734.324645996094,5811.834515898244,42518,0.1366911547085527,0.1352118593595236,0.156410796330896,0.024464337208865,-0.8364951088347049,0.9839465177900442,-525.2268128590289,42518,-0.0123530460712881,-0.0129585473668819,0.0521308043699778,0.0027176207642609,-0.2821341392372701,0.2084974027118366,14744.971657913477,42518,0.3467936322948745,0.323161832439417,0.1295129223417405,0.0167735970534977,0.0857175966097918,3.6707969764640143,10333.378993541235,42518,0.2430353966212248,0.2420782428511302,0.0458355092612053,0.002100893909234,-0.1418089864953934,0.460494400843636,0,AYT-Z,0.0082548921927809,1,0.3663624817724258,89.86,89.83,89.82
127,AYT-Z--1_10,-2992.7360645529225,42516,-0.0703908190928808,-0.068442050787803,0.0482456849594358,0.0023276461172051,-0.4810003441150068,0.2167707022637869,-122412.0951403295,42516,-2.879200657172112,0.043118700754881,470.79685884452505,221649.6822978716,-86534.5,12297.379464285714,-3102.338693212432,42516,-0.0729687339639766,-0.0753733331389857,0.0441115937032122,0.0019458326990372,-0.5038079934368768,0.1192510695847218,2518.699344746248,42516,0.0592412114203181,0.0600823296707993,0.0379987825840584,0.0014439074778705,-0.3803516845764716,0.3088163114796209,49427.86011239767,42516,1.1625707995201258,1.1630351704975417,0.1093995759981369,0.0119682672285721,0.7869091702025931,3.030697741088196,48011.6631999536,42516,1.1292610593647945,1.1278459413388977,0.0826972444726345,0.0068388342433666,0.4489061174389429,1.893586803648986,-4652.945277341694,42516,-0.109439864459067,-0.1130468874320481,0.0661592850227542,0.004377050994722,-0.7556211772707231,0.1788509747315857,-3801.228571189488,42516,-0.0894070131524482,-0.091639897505198,0.0594872746017286,0.0035387358395414,-1.1336889371388736,0.1437778168902422,12206158.257972715,42516,287.095640652289,270.5242614746094,134.4355139345506,18072.90740684675,-339.1806640625,1404.6958618164062,5495.663199953598,42516,0.1292610593647944,0.1278459413388978,0.0826972444726352,0.0068388342433667,-0.5510938825610571,0.893586803648986,-107.88621332143944,42516,-0.002537543826358,-0.0056422968637911,0.0548699915089984,0.0030107159681975,-0.4219419404887979,0.313361874235724,11556.04302927956,42516,0.2718045683808345,0.2777559420618488,0.0560989815910828,0.0031470957355566,0.0128765385761023,0.9353741304541912,10573.055056959403,42516,0.2486841437802099,0.2456120369262287,0.046945751612881,0.0022039035944983,-0.1689616741490639,0.5175140795341098,0,AYT-Z,0.039352361112833,10,0.7051698184213002,55.42,49.14,44.74
141,AYT-Z--1_11,-3659.720241268661,42517,-0.0860766338469003,-0.0803913750714097,0.0761344267637657,0.0057964509386472,-0.8121796878674226,0.3040039614385049,127845.690197256,42517,3.006931114548439,0.3960334056196511,696.328574917922,484873.48424722406,-49352.55263157895,117537.58333333331,-4112.947859251508,42517,-0.0967365491274433,-0.0978753914687559,0.0584524617071289,0.0034166902796233,-0.7358256750176883,0.1729241281823732,1540.9045794595866,42517,0.0362420815076225,0.036595859553324,0.0512422836425074,0.0026257716328991,-0.6319223322450025,0.2352421261146875,52085.48430899482,42517,1.225050786955684,1.2169886300476995,0.1776883869359352,0.0315731628518946,0.7051401296512745,6.57075843814085,45948.974408233145,42517,1.0807200509968518,1.075971978979365,0.1048088307023195,0.0109848909931874,0.2255485205896046,1.6152068102798398,-6168.682917265806,42517,-0.145087445428083,-0.1467962257770644,0.0876649404744849,0.0076851417883949,-1.1033551806737334,0.2593464085670275,-4877.913871922029,42517,-0.1147285526241745,-0.1196177695316947,0.0644017623358232,0.0041475869919598,-1.3820627030687211,0.2717034597361896,12201159.943489077,42517,286.9713277862755,278.0511474609375,115.6249803570337,13369.136082564431,-271.993408203125,872.9878540039062,3431.974408233142,42517,0.0807200509968516,0.0759719789793649,0.1048088307023207,0.0109848909931877,-0.7744514794103954,0.6152068102798398,-440.08200308439706,42517,-0.0103507303686618,-0.017559942304661,0.0577977278993869,0.0033405773503315,-0.3534545940968928,0.3310774879395096,12309.31735997164,42517,0.2895151906289635,0.288051219248787,0.0749890805341161,0.0056233621993521,0.06104127870698,2.270505951666734,9741.069339796564,42517,0.2291099875296132,0.2254542968945018,0.043758261742526,0.0019147854707274,-0.2427165683102462,0.4202767740364144,0,AYT-Z,0.0389500819146633,11,0.7561916409906626,76.27,68.74,65.38
155,AYT-Z--1_12,-2750.7716201953417,42518,-0.0646966371935496,-0.0604154929769979,0.0670861094485548,0.0045005460809434,-0.7139287187445025,0.2377498392000351,-397956.8912498399,42517,-9.359947579787846,-0.1523395314961414,1516.668817008979,2300284.300487416,-291839.28571428574,37271.71875,-3256.457164109554,42518,-0.0765900833555095,-0.0756374614883788,0.0477888028362676,0.0022837696765236,-0.6556721839479023,0.1680365149294701,2139.213363709862,42518,0.0503131229999026,0.052766913557468,0.0441403838519925,0.0019483734866012,-0.5102999750315581,0.2641505110716482,49848.29118968288,42518,1.1724044214140572,1.1636532385054836,0.1300452250842113,0.0169117605672032,0.7122752366357028,4.808418334978186,47205.967102823095,42518,1.110258410621927,1.11141273317587,0.0932150227904739,0.0086890404738285,0.3242402390678775,1.7179471211058164,-4884.007930843165,42518,-0.1148691831893119,-0.1134403722717826,0.0716715578176718,0.0051368122000118,-0.9832145342433884,0.2520173041972027,-4195.4837656123445,42518,-0.0986754731081505,-0.0968499798398713,0.0657856906971752,0.0043277571005044,-1.4209223698954982,0.2729384686066433,10219528.771144869,42518,240.3577019414099,231.87579345703125,107.96075444360686,11655.524500032778,-297.400634765625,984.7020874023438,4687.967102823096,42518,0.1102584106219271,0.11141273317587,0.0932150227904739,0.0086890404738285,-0.6757597609321224,0.7179471211058164,-497.6423821363401,42518,-0.011704275415973,-0.0125213793512665,0.0595490645505774,0.0035460910888488,-0.4136858772132625,0.366433020592082,11245.822748312048,42518,0.2644955724237275,0.26193812744428,0.0600679800030076,0.0036081622216417,-0.0617735256337675,1.7242854004763188,9856.74680735596,42518,0.2318252694707173,0.2310267102173936,0.0496758430247097,0.0024676893802156,-0.1525746052872069,0.4614807976732421,0,AYT-Z,0.0366307124495506,12,0.5875629145303166,88.96,87.69,87.35
169,AYT-Z--1_13,-2509.841686313104,42519,-0.059028709196197,-0.0568038628311107,0.0421871077690048,0.0017797520619136,-0.4016011556808722,0.1494888732922961,-5261.869028210282,42519,-0.1237533579860834,-0.6177311971875484,436.13345569810457,190212.3911791705,-37193.35416666663,74181.33333845087,-2420.2440513093147,42519,-0.056921471608206,-0.0566976134935787,0.0428229279339316,0.0018338031568347,-0.3560925382770679,0.1687819966565712,2653.257432027441,42519,0.0624016894100858,0.0642876015372878,0.0472386155657111,0.002231486800565,-0.2668670883541476,0.3484118692234881,47840.421965185,42519,1.1251539774026906,1.1202108980208605,0.0981554283923912,0.0096344881228938,0.7111830997749955,2.106036377725008,48408.31909919838,42519,1.138510291850664,1.1374088911142064,0.1077065501208531,0.0116007009389358,0.5786975748168683,2.069423621355036,-3629.903072520743,42519,-0.0853713180582973,-0.0850356103629554,0.0642266276791594,0.0041250597030373,-0.5340886828574203,0.2531263736098231,-3419.78981414002,42519,-0.0804296858848989,-0.0741528302039055,0.0699853694487567,0.0048979519368789,-1.6579706317813494,0.1585556753931162,11297216.821762083,42519,265.6980837216794,256.16278076171875,124.5613191962247,15515.522239903778,-215.642333984375,921.8199462890624,5889.31909919838,42519,0.1385102918506639,0.1374088911142064,0.1077065501208521,0.0116007009389356,-0.4213024251831316,1.069423621355036,90.81894027926204,42519,0.0021359613415005,0.0019077135961513,0.0644572133796425,0.0041547323566687,-0.3763947047213241,0.3218304962362566,10154.240016461114,42519,0.2388165294682639,0.2423463690526404,0.0430344779197796,0.0018519662898279,0.0577204950404806,0.5971362074573225,10154.100736537162,42519,0.2388132537580178,0.2390830234003958,0.059371973425197,0.0035250312284023,-0.146646835658507,0.5487219346688914,0,AYT-Z,0.0233491156250238,13,0.6569768809238223,89.83,89.8,89.79
183,AYT-Z--1_14,-3485.8871614548225,42518,-0.0819861508409337,-0.0727988003014758,0.0799036234408514,0.0063845890389773,-0.7710588207930908,0.3040328650769195,-47672.29292499516,42518,-1.121226137753308,-1.22867751186643,179.4861613284883,32215.28210843612,-20493.57407407408,17989.65,-3286.6574018380184,42518,-0.0773003763544385,-0.071684598437843,0.0469734715187356,0.0022065070265214,-0.7011096257998679,0.074564468606809,2187.1655188057307,42518,0.0514409313421546,0.0553173790094123,0.0416826436698442,0.0017374427833072,-0.6007718623045608,0.2427144524161276,49922.06642137077,42518,1.174139574330184,1.154440179096926,0.1337720289521085,0.0178949557299637,0.8612191808212623,5.6914165615144015,47290.50706276063,42518,1.1122467440321897,1.1171131505551155,0.0867996789699484,0.0075341842692861,0.2493972733383057,1.6410117113432594,-4929.24446759315,42518,-0.1159331216800684,-0.1075122834664237,0.0704450914731379,0.0049625109126587,-1.0512147565524996,0.1118336218757074,-4244.952759828299,42518,-0.0998389566731337,-0.0947980098890313,0.0560848454327628,0.0031455098872168,-0.8935128836558534,0.1235415677130895,8742169.891929626,42518,205.61103278445896,202.65289306640625,111.81837268722,12503.348470418028,-288.88671875,745.9843139648438,4772.507062760635,42518,0.1122467440321895,0.1171131505551156,0.0867996789699473,0.0075341842692859,-0.7506027266616943,0.6410117113432594,222.12201461407275,42518,0.0052241877466972,0.0027650200264807,0.0601899783214608,0.0036228334903379,-0.3839077601639633,0.4588521607593684,11420.401791447282,42518,0.268601575602034,0.260677732689296,0.0632381482222405,0.003999063390578,0.0650574882686562,1.9304565401576608,9599.50738041286,42518,0.2257751394800522,0.2257465440670121,0.045318533034269,0.0020537694363781,-0.1497647820467932,0.4551051592456768,0,AYT-Z,0.0272740665823221,14,0.4641798767580789,80.36,74.29,71.5
197,AYT-Z--1_15,-2886.9979600329784,42518,-0.0679006058618227,-0.0582261179932974,0.0741116980948992,0.0054925437945094,-0.6009705713088134,0.2479075278192524,-68596.79046180626,42518,-1.613358823599564,-0.5763125356737024,414.27442039706,171623.29539531996,-79604.07142857143,15958.075,-2869.29386047578,42518,-0.067484215167124,-0.0613540167277859,0.0564557819973354,0.0031872553209306,-0.6263031762771507,0.287350064889308,2306.838537035628,42518,0.0542555749808464,0.0578551492286787,0.0543302215102564,0.0029517729693535,-0.5284547991287097,0.3570592812952499,49053.36300881858,42518,1.153708147345091,1.1307287685056768,0.1512490074402395,0.0228762622516576,0.5535789794456325,4.351932028952144,47680.7792142966,42518,1.121425730615189,1.122815826426744,0.1176549358252632,0.0138426839240468,0.3085110538696289,2.110706697857218,-4303.280762957348,42518,-0.1012107992604861,-0.0920167217626214,0.0846678457214033,0.0071686440991033,-0.9393249119114442,0.4309017633719931,-3775.849540928007,42518,-0.0888059066966463,-0.0815798004189002,0.07217344629428,0.0052090063499933,-0.8449026204874517,0.3468369047285358,10160262.956817629,42518,238.96380254992303,239.5635681152344,106.96876551726965,11442.316796288613,-210.34228515625,932.95849609375,5162.7792142966,42518,0.1214257306151888,0.1228158264267439,0.1176549358252633,0.0138426839240468,-0.691488946130371,1.1107066978572182,27.00974441532344,42518,0.0006352543491068,-0.0020953284495242,0.0623740746023521,0.0038905251824997,-0.3083686917636383,0.3991627463467712,10676.556852750347,42518,0.2511067513229773,0.2425297241330548,0.0596141246038065,0.0035538438522781,0.0559332806517861,1.1924292731762134,9901.366711006924,42518,0.2328747050897719,0.2326554247190399,0.0567347699489013,0.0032188341211547,-0.1858047584138492,0.5488779184465922,0,AYT-Z,0.0177046824246644,15,0.6041441271931888,89.85,89.83,89.81
198,AYT-Z--1_16,-2598.7043443008847,42520,-0.0611172235254206,-0.0519009649410114,0.0662570976393679,0.0043900029875927,-0.5544034500514733,0.1493734589745757,-152113.1160007644,42520,-3.577448635954007,-0.3393423477950539,542.3237571420757,294115.05756069714,-98652.25925925926,12393.978021851168,-2676.875474131169,42520,-0.0629556790717584,-0.0585028886444011,0.0585871555382729,0.0034324547940657,-0.5731267495925078,0.187653343006613,2451.9643333027702,42520,0.0576661414229249,0.0596834022754536,0.0596779656062232,0.0035614595788975,-0.4835911188964517,0.3916329623186216,48633.1039757722,42520,1.143770084096242,1.1242762998365334,0.153100200297309,0.0234396713310761,0.6839930706858319,3.6852315016010126,48077.98903191418,42520,1.1307146997157616,1.1269432070434469,0.1330773793373567,0.0177095888912987,0.3480803265307167,2.287489091490629,-4014.724034452977,42520,-0.0944196621461189,-0.0877401411169267,0.0878654088153983,0.007720330066297,-0.8595174357924624,0.2814175364205796,-3666.546999715531,42520,-0.0862311147628299,-0.0788399233311273,0.0808701721200029,0.0065399847387189,-1.2329970367668692,0.208661504281587,10214318.674263,42520,240.22386345867827,236.8645935058593,107.8724812906102,11636.472219793048,-268.5138244628906,775.9474182128906,5557.9890319141805,42520,0.1307146997157615,0.1269432070434468,0.1330773793373568,0.0177095888912987,-0.6519196734692833,1.2874890914906292,-74.7427488866858,42520,-0.0017578257028853,-0.0052263402190618,0.0657396141522575,0.0043216968688876,-0.3235792751769467,0.3918627753638973,10472.930094654295,42520,0.2463059758855667,0.2390089132839616,0.0551035475735208,0.0030364009551872,0.0993065770400169,0.931532268160824,9955.242460313444,42520,0.2341308198568542,0.2330618825498711,0.0642949559599847,0.0041338413618963,-0.2144682420925251,0.5333925946123509,0,AYT-Z,0.0149154858663678,16,0.5948024459078081,78.23,74.23,71.99
184,AYT-Z--1_17,-3419.11557217925,42522,-0.0804081551239182,-0.0707108360443116,0.0807283617859497,0.0065170683966431,-0.5905786942860372,0.3075665322048618,-512293.6500559121,42522,-12.047731763696724,-1.3614498591571411,1974.6014647576744,3899050.9446231527,-399447.1666666667,17659.58955223882,-3110.012897787137,42522,-0.0731389139219024,-0.0668050925181364,0.0485698545017903,0.002359030766325,-0.5623905053090428,0.1258158839030722,2344.168176981306,42522,0.0551283612478553,0.0595721666277216,0.0423150313952402,0.0017905618819801,-0.4468199645684275,0.2633203624456593,49524.23357794446,42522,1.1646731945332878,1.143175004457791,0.133233563240222,0.0177511823736862,0.7764894141182601,3.570284749905652,47651.224603746414,42522,1.1206251964570435,1.126691628031061,0.088526055147831,0.0078368624400368,0.3823419976075466,1.714884324262962,-4664.313102031464,42522,-0.1096917619592555,-0.100194661315434,0.0728395481750644,0.0053055997783475,-0.8434076903493917,0.188698997513706,-3999.0280282208632,42522,-0.0940460944504224,-0.0895706381571718,0.0569659737603617,0.0032451221664662,-1.409519346005032,0.1787863705710242,8641102.217777252,42522,203.2148586091259,200.35186767578125,100.47758370677498,10095.744827551973,-339.3583984375,729.0481567382812,5129.224603746413,42522,0.1206251964570437,0.1266916280310609,0.0885260551478309,0.0078368624400368,-0.6176580023924534,0.7148843242629619,332.2722430434906,42522,0.0078141254654882,0.0049587874867523,0.0575076019196487,0.0033071242785487,-0.3782111918255373,0.4368536003536676,11299.89510611795,42522,0.2657423241173498,0.2561135632004371,0.060034720557942,0.0036041676724701,0.0505950997773056,1.099992467930848,9682.76470720021,42522,0.2277118834297589,0.2274375866624473,0.0423878051413537,0.0017967260247013,-0.2495657566323032,0.4614812165402007,0,AYT-Z,0.0300757065415382,17,0.4489911104839847,69.67,61.03,56.98
170,AYT-Z--1_18,-2429.4986247740458,42517,-0.0571418167973762,-0.0547437011742939,0.0424027267173331,0.0017979912330648,-0.4498807617957264,0.1543020544705178,-278429.0751121061,42517,-6.548652894421199,-0.6057248834651139,1225.5466411939124,1501964.56974168,-246804.3333333333,23508.954545852623,-2166.5431044012203,42517,-0.050957101968653,-0.0539850317094799,0.0453273863129603,0.0020545719499643,-0.3331221642740581,0.2302469678155079,2986.274768334143,42517,0.07023719378917,0.0686509746993928,0.0502105273242112,0.0025210970541753,-0.2774106017461623,0.4647083222529622,47286.641850457134,42517,1.112181994271871,1.1141314535583569,0.100776711209693,0.0101559455222418,0.6256898430331485,1.999050040136458,49214.43558068236,42517,1.1575237100614426,1.1474226586047795,0.1199983543394005,0.0143996050441643,0.5656672938725347,2.736280766436907,-3249.4037900070016,42517,-0.0764259893691229,-0.0809682003940372,0.06798230281842,0.0046215934964953,-0.499648932634498,0.3452477987246887,-3094.657098652236,42517,-0.072786346606116,-0.0713763322647312,0.0705982898700265,0.0049841185325722,-1.696719993818515,0.2112655796214585,10491239.864299774,42517,246.75400108897085,238.59326171875,119.9985712287465,14399.657096940547,-181.16046142578125,903.6519622802734,6697.43558068236,42517,0.1575237100614427,0.1474226586047795,0.1199983543394007,0.0143996050441643,-0.4343327061274653,1.736280766436907,263.3091247774419,42517,0.0061930316056504,0.0045574505332276,0.0664868176698648,0.0044204969238658,-0.4104229689629652,0.4105546814521591,10174.914376326304,42517,0.2393140244214385,0.2436999091564811,0.0424617440383009,0.0018029997067741,0.0246725963785709,0.5705583080321799,10294.418157234368,42517,0.2421247537981129,0.2395672520861152,0.0600670132204817,0.0036080460772295,-0.1788424430225817,0.5883931033268488,0,AYT-Z,0.0263466984033584,18,0.5980666556906649,71.28,65.03,61.6
